Year,Complete Indicator Countries,Mean Gross Domestic Product (GDP),Median Gross Domestic Product (GDP),Mean GDP Growth Rate (%),Median GDP Growth Rate (%),Mean Price Inflation Rate (%),Median Price Inflation Rate (%)
1960,45,34249261766.226665,6442076505.0,4.822984832733333,4.74796003,13.961451321866667,5.664739884
1961,45,34330367700.5,6442076505.0,4.552709137,4.88657026,13.01354077328889,4.888363683
1962,45,34470441463.82889,6219585043.0,5.128293320488889,4.65248636,15.530854271377779,4.888363683
1963,45,35001079596.34889,6219585043.0,5.168525771133333,4.942936305,16.510442399,5.62554937
1964,45,35724006314.92,6219585043.0,5.388985118866667,4.942936305,15.892687219,5.172750423
1965,45,35622141127.84422,5929231415.0,5.275023726533333,4.74796003,20.00143561466667,5.772232768
1966,45,35958042994.40222,6439687854.0,5.0416253146,4.88657026,39.18570509144445,5.772380507
1967,45,29203693892.76889,6219585043.0,5.999661222733334,4.74796003,15.737437570844445,5.772232768
1968,45,22005984387.63778,6119394892.0,7.726239947933333,4.996335607,15.545678645933334,4.843521556
1969,45,23145375302.184444,6695336567.0,6.734509490088889,4.88657026,12.926467421844444,4.888363683
1970,45,27220196326.535557,6898248878.0,7.034945570244444,4.88657026,13.846636581111111,5.866956078
1971,45,28308706302.25778,7184816838.0,5.056886666488889,4.698992042,14.054676747955556,4.888363683
1972,45,30771474214.904446,6898248878.0,5.430603205111111,4.638126216,14.404198263422222,6.34948605
1973,45,35108656532.48889,7662902678.0,5.058119274622222,4.74796003,18.364575923333334,11.42977253
1974,45,39127864033.524445,11516762614.0,5.9322770577999995,4.88657026,22.203263183355556,16.89769908
1975,45,37841287660.21333,11230606061.0,5.022224399155555,4.65248636,18.284768682266666,10.20763482
1976,45,40662568743.68,11050234599.0,7.594003390288889,5.661361201,16.502285244777777,9.374036386
1977,45,46121646840.253334,13139488633.0,5.659507541044444,5.100590264,16.84434119,9.898751597
1978,45,55280154168.153336,15503557496.0,5.221910980222222,5.600001174,16.657954746244446,7.334525939
1979,45,60693069931.59778,16101033255.0,6.097710226844445,5.254969835,18.584773318844444,8.267046976
1980,45,65874915833.37911,18138049096.0,5.175092584822222,5.200711079,22.625137905933332,11.34607348
1981,45,69468118360.06778,20249694002.0,4.8598605403777775,5.112761091,20.591374749444444,11.18745334
1982,45,67798704951.36845,18525399202.0,4.160279151444445,4.141495702,18.835186966222224,7.890742794
1983,45,71143905550.2029,18672866242.0,4.152665298222222,4.74796003,18.990028997644444,6.27939513
1984,45,73339974588.44667,19749361098.0,4.511809450555555,4.932728026,24.47173102071111,6.124619936
1985,45,73551084595.45111,20874604448.0,3.4673229816888886,4.153980922,21.666949603,5.556424232
1986,45,89836658714.86,20874604448.0,3.422221225088889,4.173382559,16.494300571066667,6.27939513
1987,45,101787637941.66222,22368704134.0,4.6681825400444446,4.000604339,17.0892097548,7.717165606
1988,45,117046112659.00444,20690322153.0,5.634237933444444,5.55555808,18.09187769091111,8.983003382
1989,45,120020102179.14444,18609532294.0,2.8691121866666665,4.329647933,18.914452464044444,8.779837189
1990,45,124017593229.49556,11685045514.0,6.826729791333333,5.100918139,17.849632649577778,8.971232503
1991,45,133087150252.76889,9613369520.0,2.3515201575555555,4.599987244,22.120060763266668,10.20763482
1992,45,145047497663.76666,9866990236.0,2.1703571104000003,5.44268555,16.2101729182,8.651003579
1993,45,160514875648.56,12493107932.0,3.2219019328,4.750776218,49.625743076333336,7.505394191
1994,45,173533710279.47333,12899156991.0,1.9223217598,4.9714767,176.22747283264445,8.349286729
1995,45,195229148971.3289,13029697561.0,4.568137677355556,5.669371322,39.81150421155555,7.674848734
1996,45,189738133263.7911,13897738375.0,5.232687859266667,5.798404061,12.753408045644445,7.973280856
1997,45,181999707895.46222,15751867489.0,5.086930223355555,5.023804508,10.638498581733334,5.625797471
1998,45,167275408470.65555,15794972847.0,3.5531639556666668,3.967608092,12.312114867333333,7.146326655
1999,45,186617389481.18,16870817182.0,4.367169764733333,4.29999896,10.3006269564,4.66982038
2000,45,203161137190.52444,17759890110.0,6.1944971706444445,5.798782329,5.811298601155555,2.259165801
2001,45,190493178184.88,17649751244.0,4.164430733422222,3.898186662,6.913673508666666,3.145904647
2002,45,194297997354.63333,19363736264.0,4.498039488422222,3.973488192,6.812719858555556,2.801155052
2003,45,215953490210.23334,21633708192.0,5.668816234422222,6.067002303,6.608780218822222,3.234648173
2004,45,244141093632.3,24763712874.0,8.098411675688888,6.902959435,5.9713839408444445,4.433141367
2005,45,266414625998.53333,31081991678.0,6.5283197712888885,6.535944939,7.1155484214,6.61525912
2006,45,288742819406.7133,37215779714.0,7.890449071466667,6.671904986,7.786933318866667,5.810685505
2007,45,330724307430.0,42085379454.0,8.041819400244444,7.129504486,7.5766067178666665,6.372881356
2008,45,381639519936.6,60905452536.0,5.629589049422222,5.950088145,13.364119745822222,10.58270979
2009,45,389147185118.26666,48388363589.0,2.685805827222222,3.379299094,3.6391421762666667,3.406766827
2010,45,457025635556.3778,64993498049.0,6.461335454377778,6.402564845,5.546803154777778,5.339416806
2011,45,525076847694.6445,67753284044.0,5.3295946502666665,5.956274309,7.576023100133333,5.826216088
2012,45,557460667145.0,70447216891.0,4.399863410088889,5.118400858,6.318345368911111,4.279499996
2013,45,563367024706.0222,77000578167.0,4.121533810355555,5.055559654,5.639978555644444,4.824623143
2014,45,584310014455.1777,82528535714.0,3.9631941671555557,4.350390853,4.451229883777778,3.179002282
2015,45,576476433471.8223,85140955389.0,3.152195813688889,3.971715713,3.3847996658222224,2.104389802
2016,45,601977006954.289,86138288633.0,3.847468698288889,4.335855917,3.390217282688889,2.134927139
2017,45,645361052854.5778,80856697009.0,3.6620941770444446,4.432625907,4.1259422026,3.323894476
2018,45,693450166827.3112,91505851756.0,3.8223461279555555,3.757910125,4.268674302111111,2.459085154
2019,45,707900622964.5333,88060858257.0,3.902920110066667,4.156137989,4.346084787933333,2.392065344
2020,45,698513156499.5111,79045695085.0,-3.3369333697555557,-3.390860487,6.276328862844444,3.220934367
2021,45,805364503198.2667,88191977373.0,4.308387083666666,4.304734819,9.492668779177778,4.149680034
2022,45,818553845484.62,80391853887.0,4.645415586977777,5.032709637,16.03369595911111,6.12106004
