Country,GDP Observations,GDP Growth Observations,Inflation Observations,Complete Indicator Observations,First Available Year,Last Available Year,Complete Coverage Status
Afghanistan,63,63,63,63,1960,2022,Complete
Armenia,63,63,63,63,1960,2022,Complete
Azerbaijan,63,63,63,63,1960,2022,Complete
Bahrain,63,63,63,63,1960,2022,Complete
Bangladesh,63,63,63,63,1960,2022,Complete
Bhutan,63,63,63,63,1960,2022,Complete
Brunei Darussalam,63,63,63,63,1960,2022,Complete
Cambodia,63,63,63,63,1960,2022,Complete
China,63,63,63,63,1960,2022,Complete
Cyprus,63,63,63,63,1960,2022,Complete
Georgia,63,63,63,63,1960,2022,Complete
India,63,63,63,63,1960,2022,Complete
Indonesia,63,63,63,63,1960,2022,Complete
"Iran, Islamic Rep.",63,63,63,63,1960,2022,Complete
Iraq,63,63,63,63,1960,2022,Complete
Israel,63,63,63,63,1960,2022,Complete
Japan,63,63,63,63,1960,2022,Complete
Jordan,63,63,63,63,1960,2022,Complete
Kazakhstan,63,63,63,63,1960,2022,Complete
"Korea, Rep.",63,63,63,63,1960,2022,Complete
Kuwait,63,63,63,63,1960,2022,Complete
Kyrgyz Republic,63,63,63,63,1960,2022,Complete
Lao PDR,63,63,63,63,1960,2022,Complete
Lebanon,63,63,63,63,1960,2022,Complete
Malaysia,63,63,63,63,1960,2022,Complete
Maldives,63,63,63,63,1960,2022,Complete
Mongolia,63,63,63,63,1960,2022,Complete
Myanmar,63,63,63,63,1960,2022,Complete
Nepal,63,63,63,63,1960,2022,Complete
Oman,63,63,63,63,1960,2022,Complete
Pakistan,63,63,63,63,1960,2022,Complete
Philippines,63,63,63,63,1960,2022,Complete
Qatar,63,63,63,63,1960,2022,Complete
Saudi Arabia,63,63,63,63,1960,2022,Complete
Singapore,63,63,63,63,1960,2022,Complete
Sri Lanka,63,63,63,63,1960,2022,Complete
Syrian Arab Republic,63,63,63,63,1960,2022,Complete
Tajikistan,63,63,63,63,1960,2022,Complete
Thailand,63,63,63,63,1960,2022,Complete
Timor-Leste,63,63,63,63,1960,2022,Complete
Turkiye,63,63,63,63,1960,2022,Complete
Turkmenistan,63,63,0,0,1960,2022,Partial
United Arab Emirates,63,63,63,63,1960,2022,Complete
Uzbekistan,63,63,63,63,1960,2022,Complete
Viet Nam,63,63,63,63,1960,2022,Complete
"Yemen, Rep.",63,63,63,63,1960,2022,Complete
