Year,Country,Gross Domestic Product (GDP),GDP Growth Rate (%),Price Inflation Rate (%)
1960,Afghanistan,537777811.1,4.74796003,6.124619936
1960,Armenia,6898248878.0,3.515202551,126.8455368
1960,Azerbaijan,29420997153.0,4.000604339,108.1802041
1960,Bahrain,16101033255.0,3.808078596,3.531110669
1960,Bangladesh,4274894083.0,4.384706192,6.27939513
1960,Bhutan,925869512.9,6.832227605,7.284395103
1960,Brunei Darussalam,6442076505.0,1.555753639,1.460945065
1960,Cambodia,637142865.7,5.600001174,4.398758198
1960,China,59716249311.0,7.991646664,4.773168146
1960,Cyprus,12913632679.0,4.88657026,0.827300931
1960,Georgia,9834973348.0,2.468894061,12.66676181
1960,India,37029883876.0,5.140132638,1.779877847
1960,Indonesia,334969000000.0,5.111197397,39.59044369
1960,"Iran, Islamic Rep.",4199134390.0,4.044004475,9.822410813
1960,Iraq,1683918766.0,7.121138889,3.478237904
1960,Israel,2598500000.0,5.254969835,2.228112421
1960,Japan,44307342950.0,3.431674248,3.574511525
1960,Jordan,13437231336.0,4.65248636,5.772380507
1960,Kazakhstan,100142000000.0,2.88125,82.35942488
1960,"Korea, Rep.",3958811881.0,7.116386904,7.965565755
1960,Kuwait,54755304666.0,4.153980922,3.995213715
1960,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1960,Lao PDR,6219585043.0,6.075047488,16.89769908
1960,Lebanon,25698059776.0,3.80501052,31.6503076
1960,Malaysia,1916229477.0,6.122324996,0.063182598
1960,Maldives,1714876941.0,5.991783374,4.888363683
1960,Mongolia,5442036507.0,4.519967418,21.93483208
1960,Myanmar,545098463.8,5.315879094,7.389937107
1960,Nepal,508334414.0,3.820556277,7.829823384
1960,Oman,28692807353.0,8.014624442,2.111150506
1960,Pakistan,3749265015.0,5.071977069,6.947368421
1960,Philippines,7515894111.0,4.280364468,4.15482178
1960,Qatar,55943064814.0,7.927137935,3.272968941
1960,Saudi Arabia,293432000000.0,4.996335607,3.424814804
